ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.05267,0.09577,9.80186,8.0,60.408,,,,NaN,,,,0 / 0,25524,2022-03-18 12:16:00:430
0.01437,0.11492,9.75877,8.0,59.4546,,,,NaN,,,,0 / 0,26024,2022-03-18 12:16:00:930
0.02394,0.10534,9.78271,8.0,50.9637,,,,NaN,,,,0 / 0,26524,2022-03-18 12:16:01:430
0.03831,0.11013,9.78271,8.0,52.3011,,,,NaN,,,,0 / 0,27024,2022-03-18 12:16:01:930
0.00479,0.12929,9.76355,8.0,51.6868,,,,NaN,,,,0 / 0,27524,2022-03-18 12:16:02:430
0.03831,0.10056,9.79707,8.0,57.8476,,,,NaN,,,,0 / 0,28024,2022-03-18 12:16:02:930
0.02873,0.11971,9.76355,8.0,59.1173,,,,NaN,,,,0 / 0,28524,2022-03-18 12:16:03:430
0.01915,0.09577,9.76834,8.0,60.8306,,,,NaN,,,,0 / 0,29024,2022-03-18 12:16:03:930
0.0431,0.1245,9.75398,8.0,55.5782,,,,NaN,,,,0 / 0,29524,2022-03-18 12:16:04:430
0.02394,0.08619,9.77792,8.0,57.7504,,,,NaN,,,,0 / 0,30024,2022-03-18 12:16:04:930
0.02394,0.11013,9.76355,8.0,57.6436,,,,NaN,,,,0 / 0,30524,2022-03-18 12:16:05:430
0.03831,0.11971,9.76834,8.0,55.2194,,,,NaN,,,,0 / 0,31024,2022-03-18 12:16:05:930
0.02394,0.11013,9.7875,8.0,52.25,,,,NaN,,,,0 / 0,31524,2022-03-18 12:16:06:430
0.02394,0.10056,9.74919,8.0,50.4979,,,,NaN,,,,0 / 0,32023,2022-03-18 12:16:06:929
0.03831,0.13408,9.76834,8.0,56.7193,,,,NaN,,,,0 / 0,32524,2022-03-18 12:16:07:430
0.03352,0.12929,9.77313,8.0,54.3222,,,,NaN,,,,0 / 0,33024,2022-03-18 12:16:07:930
0.01915,0.10534,9.79707,8.0,55.1675,,,,NaN,,,,0 / 0,33524,2022-03-18 12:16:08:430
0.02873,0.10534,9.77313,8.0,47.0204,,,,NaN,,,,0 / 0,34024,2022-03-18 12:16:08:930
0.01437,0.10056,9.77313,8.0,52.829,,,,NaN,,,,0 / 0,34524,2022-03-18 12:16:09:430
0.02873,0.10056,9.75398,8.0,45.295,,,,NaN,,,,0 / 0,35024,2022-03-18 12:16:09:930
0.01915,0.09098,9.76355,8.0,33.0712,,,,NaN,,,,0 / 0,35524,2022-03-18 12:16:10:430
0.01437,0.11492,9.77792,8.0,47.8103,,,,NaN,,,,0 / 0,36023,2022-03-18 12:16:10:929
0.02394,0.11971,9.76834,8.0,48.1732,,,,NaN,,,,0 / 0,36524,2022-03-18 12:16:11:430
0.0431,0.10056,9.77313,8.0,46.1602,,,,NaN,,,,0 / 0,37024,2022-03-18 12:16:11:930
0.00958,0.10534,9.7875,8.0,31.8559,,,,NaN,,,,0 / 0,37524,2022-03-18 12:16:12:430
0.05267,0.11492,9.7875,8.0,53.7035,,,,NaN,,,,0 / 0,38024,2022-03-18 12:16:12:930
0.02873,0.11013,9.78271,8.0,53.0733,,,,NaN,,,,0 / 0,38523,2022-03-18 12:16:13:429
0.02394,0.11492,9.76355,8.0,47.8718,,,,NaN,,,,0 / 0,39024,2022-03-18 12:16:13:930
0.0431,0.09577,9.79229,8.0,45.0948,,,,NaN,,,,0 / 0,39524,2022-03-18 12:16:14:430
0.04788,0.11971,9.76355,8.0,39.8849,,,,NaN,,,,0 / 0,40024,2022-03-18 12:16:14:930
0.02394,0.11492,9.79229,8.0,51.4828,,,,NaN,,,,0 / 0,40524,2022-03-18 12:16:15:430
0.01437,0.10534,9.76834,8.0,53.4398,,,,NaN,,,,0 / 0,41024,2022-03-18 12:16:15:930
0.0431,0.11492,9.79229,8.0,47.6097,,,,NaN,,,,0 / 0,41524,2022-03-18 12:16:16:430
0.06704,0.11013,9.77313,8.0,51.1573,,,,NaN,,,,0 / 0,42024,2022-03-18 12:16:16:930
0.03352,0.10056,9.77313,8.0,51.1524,,,,NaN,,,,0 / 0,42524,2022-03-18 12:16:17:430
0.02394,0.11492,9.75877,8.0,50.8296,,,,NaN,,,,0 / 0,43024,2022-03-18 12:16:17:930
0.03352,0.0814,9.8258,8.0,54.8575,,,,NaN,,,,0 / 0,43524,2022-03-18 12:16:18:430
0.0431,0.11971,9.78271,8.0,44.1727,,,,NaN,,,,0 / 0,44024,2022-03-18 12:16:18:930
0.03831,0.11492,9.77792,8.0,55.2213,,,,NaN,,,,0 / 0,44524,2022-03-18 12:16:19:430
0.02873,0.10534,9.76834,8.0,52.5327,,,,NaN,,,,0 / 0,45024,2022-03-18 12:16:19:930
0.03352,0.11013,9.74919,8.0,52.6926,,,,NaN,,,,0 / 0,45524,2022-03-18 12:16:20:430
0.03352,0.1245,9.80186,8.0,57.2988,,,,NaN,,,,0 / 0,46024,2022-03-18 12:16:20:930
0.03352,0.09577,9.7875,8.0,51.9465,,,,NaN,,,,0 / 0,46524,2022-03-18 12:16:21:430
0.0431,0.11971,9.79707,8.0,59.6347,,,,NaN,,,,0 / 0,47024,2022-03-18 12:16:21:930
0.02394,0.1245,9.77313,8.0,56.2137,,,,NaN,,,,0 / 0,47524,2022-03-18 12:16:22:430
0.02394,0.12929,9.79707,8.0,52.2882,,,,NaN,,,,0 / 0,48024,2022-03-18 12:16:22:930
0.03352,0.11013,9.75877,8.0,45.035,,,,NaN,,,,0 / 0,48524,2022-03-18 12:16:23:430
0.01915,0.11013,9.7875,8.0,46.1472,,,,NaN,,,,0 / 0,49024,2022-03-18 12:16:23:930
0.0431,0.12929,9.76834,8.0,57.8055,,,,NaN,,,,0 / 0,49524,2022-03-18 12:16:24:430
0.0431,0.10534,9.76834,8.0,58.0746,,,,NaN,,,,0 / 0,50024,2022-03-18 12:16:24:930
0.05267,0.10056,9.75398,8.0,58.3683,,,,NaN,,,,0 / 0,50524,2022-03-18 12:16:25:430
0.0431,0.1245,9.77313,8.0,51.2959,,,,NaN,,,,0 / 0,51024,2022-03-18 12:16:25:930
0.03831,0.1245,9.76834,8.0,47.2836,,,,NaN,,,,0 / 0,51524,2022-03-18 12:16:26:430
0.03352,0.09098,9.78271,8.0,38.6918,,,,NaN,,,,0 / 0,52024,2022-03-18 12:16:26:930
0.02873,0.11492,9.77313,8.0,55.0178,,,,NaN,,,,0 / 0,52524,2022-03-18 12:16:27:430
