ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.3831,5.8897,7.3167,8,47.261,,,,NaN,,,,0 / 0,26,2022-03-16 14:07:17:870
-0.4453,6.043,7.5322,8,46.526,,,,NaN,,,,0 / 0,526,2022-03-16 14:07:18:370
-0.3974,5.5498,8.011,8,45.224,,,,NaN,,,,0 / 0,1026,2022-03-16 14:07:18:870
-0.3735,6.0047,7.8769,8,46.547,,,,NaN,,,,0 / 0,1526,2022-03-16 14:07:19:370
-0.498,6.1914,7.5178,8,46.312,,,,NaN,,,,0 / 0,2026,2022-03-16 14:07:19:870
-0.6943,6.1675,7.6902,8,46.097,,,,NaN,,,,0 / 0,2526,2022-03-16 14:07:20:370
-0.5555,5.9903,7.6902,8,45.796,,,,NaN,,,,0 / 0,3026,2022-03-16 14:07:20:870
-1.5706,6.7564,6.9671,8,46.707,,,,NaN,,,,0 / 0,3527,2022-03-16 14:07:21:371
-1.3838,6.7708,6.6272,8,51.237,,,,NaN,,,,0 / 0,4026,2022-03-16 14:07:21:870
-0.5363,6.0238,7.6662,8,46.665,,,,NaN,,,,0 / 0,4526,2022-03-16 14:07:22:370
-0.1867,5.7269,8.0589,8,46.755,,,,NaN,,,,0 / 0,5026,2022-03-16 14:07:22:870
-0.2203,5.7078,8.0493,8,47.718,,,,NaN,,,,0 / 0,5526,2022-03-16 14:07:23:370
-0.1628,5.6503,7.9727,8,45.355,,,,NaN,,,,0 / 0,6026,2022-03-16 14:07:23:870
-0.1053,5.4684,8.2935,8,49.498,,,,NaN,,,,0 / 0,6526,2022-03-16 14:07:24:370
-0.4262,5.928,7.6902,8,48.617,,,,NaN,,,,0 / 0,7026,2022-03-16 14:07:24:870
-1.6616,6.6607,6.9576,8,51.099,,,,NaN,,,,0 / 0,7526,2022-03-16 14:07:25:370
-1.2737,6.5936,7.4939,8,45.365,,,,NaN,,,,0 / 0,8026,2022-03-16 14:07:25:870
-0.5794,6.0621,7.7141,8,46.741,,,,NaN,,,,0 / 0,8526,2022-03-16 14:07:26:370
-1.1157,6.3494,7.4939,8,45.867,,,,NaN,,,,0 / 0,9026,2022-03-16 14:07:26:870
-0.9433,6.3015,7.4651,8,45.972,,,,NaN,,,,0 / 0,9526,2022-03-16 14:07:27:370
-1.3551,6.4021,7.3119,8,45.844,,,,NaN,,,,0 / 0,10026,2022-03-16 14:07:27:870
-0.8667,6.1579,7.7045,8,45.719,,,,NaN,,,,0 / 0,10526,2022-03-16 14:07:28:370
-1.2354,6.45,7.4316,8,45.903,,,,NaN,,,,0 / 0,11026,2022-03-16 14:07:28:870
-0.8523,6.1339,7.3694,8,47.283,,,,NaN,,,,0 / 0,11526,2022-03-16 14:07:29:370
-0.838,6.2345,7.4891,8,45.751,,,,NaN,,,,0 / 0,12026,2022-03-16 14:07:29:870
-0.9194,6.1627,7.3023,8,46.521,,,,NaN,,,,0 / 0,12526,2022-03-16 14:07:30:370
-0.7326,5.9951,7.7285,8,46.308,,,,NaN,,,,0 / 0,13026,2022-03-16 14:07:30:870
-0.6752,5.9376,7.8913,8,49.223,,,,NaN,,,,0 / 0,13527,2022-03-16 14:07:31:371
-0.6847,6.0094,7.5322,8,47.651,,,,NaN,,,,0 / 0,14026,2022-03-16 14:07:31:870
-1.1588,6.2776,7.2449,8,46.915,,,,NaN,,,,0 / 0,14526,2022-03-16 14:07:32:370
-0.6512,5.952,7.5609,8,46.486,,,,NaN,,,,0 / 0,15026,2022-03-16 14:07:32:870
-0.7661,6.043,7.8386,8,46.877,,,,NaN,,,,0 / 0,15526,2022-03-16 14:07:33:370
-0.752,6.1,7.58,8,45.58,,,,NaN,,,,0 / 0,16026,2022-03-16 14:07:33:870
-0.752,6.124,7.494,8,46,,,,NaN,,,,0 / 0,16526,2022-03-16 14:07:34:370
-0.675,6.072,7.709,8,46.93,,,,NaN,,,,0 / 0,17026,2022-03-16 14:07:34:870
-0.67,6.08,8.26,8,45.4,,,,NaN,,,,0 / 0,17526,2022-03-16 14:07:35:370
-1.05,6.31,7.51,8,46.9,,,,NaN,,,,0 / 0,18026,2022-03-16 14:07:35:870
-0.9,6.3,7.4,8,55,,,,NaN,,,,0 / 0,18527,2022-03-16 14:07:36:371
-1,6.2,8.3,8,48,,,,NaN,,,,0 / 0,19027,2022-03-16 14:07:36:871
-1,6,7,8,47,,,,NaN,,,,0 / 0,19526,2022-03-16 14:07:37:370
-1,6,7,8,48,,,,NaN,,,,0 / 0,20026,2022-03-16 14:07:37:870
-1,6,7,8,46,,,,NaN,,,,0 / 0,20526,2022-03-16 14:07:38:370
-1,6,7,8,48,,,,NaN,,,,0 / 0,21026,2022-03-16 14:07:38:870
-0.9,6.4,7.6,8,49,,,,NaN,,,,0 / 0,21526,2022-03-16 14:07:39:370
-0.79,6.31,7.46,8,46.3,,,,NaN,,,,0 / 0,22026,2022-03-16 14:07:39:870
-0.737,6.249,7.647,8,50.88,,,,NaN,,,,0 / 0,22526,2022-03-16 14:07:40:370
-0.7135,6.3494,7.3358,8,47.21,,,,NaN,,,,0 / 0,23026,2022-03-16 14:07:40:870
-0.7757,6.3494,7.4268,8,45.347,,,,NaN,,,,0 / 0,23526,2022-03-16 14:07:41:370
-0.66559,6.359,7.46512,8,49.339,,,,NaN,,,,0 / 0,24026,2022-03-16 14:07:41:870
-0.5794,6.33985,7.50343,8,49.9481,,,,NaN,,,,0 / 0,24526,2022-03-16 14:07:42:370
-0.60334,6.41646,7.40287,8,48.843,,,,NaN,,,,0 / 0,25026,2022-03-16 14:07:42:870
-0.65601,6.41167,7.54174,8,52.0359,,,,NaN,,,,0 / 0,25526,2022-03-16 14:07:43:370
-0.39265,5.35822,8.56167,8,46.9581,,,,NaN,,,,0 / 0,26026,2022-03-16 14:07:43:870
-0.2059,5.68384,6.95276,8,47.1294,,,,NaN,,,,0 / 0,26526,2022-03-16 14:07:44:370
-0.22505,6.07648,7.3933,8,46.0003,,,,NaN,,,,0 / 0,27026,2022-03-16 14:07:44:870
-0.35434,6.21535,7.72848,8,46.1543,,,,NaN,,,,0 / 0,27526,2022-03-16 14:07:45:370
-0.54109,6.28717,7.53216,8,45.283,,,,NaN,,,,0 / 0,28026,2022-03-16 14:07:45:870
-0.60334,6.28239,7.53216,8,45.1849,,,,NaN,,,,0 / 0,28527,2022-03-16 14:07:46:371
-0.65122,6.21056,7.63272,8,46.2322,,,,NaN,,,,0 / 0,29026,2022-03-16 14:07:46:870
-0.63686,6.07648,7.65666,8,46.4654,,,,NaN,,,,0 / 0,29526,2022-03-16 14:07:47:370
-0.68953,6.14831,7.54174,8,46.9432,,,,NaN,,,,0 / 0,30026,2022-03-16 14:07:47:870
-0.65122,6.19141,7.66145,8,45.7818,,,,NaN,,,,0 / 0,30526,2022-03-16 14:07:48:370
-0.74699,5.99987,7.70933,8,51.0016,,,,NaN,,,,0 / 0,31026,2022-03-16 14:07:48:870
-0.59376,5.63116,7.99185,8,48.0113,,,,NaN,,,,0 / 0,31526,2022-03-16 14:07:49:370
-0.68953,5.6551,8.00142,8,47.617,,,,NaN,,,,0 / 0,32026,2022-03-16 14:07:49:870
-0.7422,5.67905,7.79073,8,48.1039,,,,NaN,,,,0 / 0,32526,2022-03-16 14:07:50:370
-0.73741,5.68862,8.011,8,45.6966,,,,NaN,,,,0 / 0,33026,2022-03-16 14:07:50:870
-0.71347,5.61201,7.95354,8,46.351,,,,NaN,,,,0 / 0,33526,2022-03-16 14:07:51:370
-0.78051,5.70778,7.81946,8,47.0046,,,,NaN,,,,0 / 0,34026,2022-03-16 14:07:51:870
-0.6177,6.13395,7.82425,8,46.1776,,,,NaN,,,,0 / 0,34526,2022-03-16 14:07:52:370
-2.46124,6.83305,7.21612,8,47.6761,,,,NaN,,,,0 / 0,35027,2022-03-16 14:07:52:871
-2.39899,6.94797,6.34463,8,46.367,,,,NaN,,,,0 / 0,35526,2022-03-16 14:07:53:370
-0.49321,6.17225,7.97748,8,45.9991,,,,NaN,,,,0 / 0,36026,2022-03-16 14:07:53:870
-0.43096,6.25366,7.58483,8,46.0286,,,,NaN,,,,0 / 0,36526,2022-03-16 14:07:54:370
-0.43574,6.24408,7.66623,8,45.5399,,,,NaN,,,,0 / 0,37026,2022-03-16 14:07:54:870
-0.43574,6.28717,7.52258,8,47.2585,,,,NaN,,,,0 / 0,37526,2022-03-16 14:07:55:370
-2.12605,6.72771,5.70299,8,45.8842,,,,NaN,,,,0 / 0,38026,2022-03-16 14:07:55:870
-0.34955,6.26323,7.3502,8,48.1592,,,,NaN,,,,0 / 0,38526,2022-03-16 14:07:56:370
-0.27773,6.22971,7.89129,8,46.7662,,,,NaN,,,,0 / 0,39027,2022-03-16 14:07:56:871
-0.04788,6.1531,7.56568,8,49.3608,,,,NaN,,,,0 / 0,39526,2022-03-16 14:07:57:370
0.01915,6.21535,7.73806,8,46.1138,,,,NaN,,,,0 / 0,40026,2022-03-16 14:07:57:870
-0.01915,6.19141,7.67102,8,45.8103,,,,NaN,,,,0 / 0,40526,2022-03-16 14:07:58:370
-0.08619,6.17704,7.69975,8,45.7778,,,,NaN,,,,0 / 0,41026,2022-03-16 14:07:58:870
0.00479,6.20577,7.57047,8,45.2329,,,,NaN,,,,0 / 0,41526,2022-03-16 14:07:59:370
2.41814,6.81869,6.22014,8,48.9521,,,,NaN,,,,0 / 0,42026,2022-03-16 14:07:59:870
-1.05345,9.16979,5.26246,8,52.1988,,,,NaN,,,,0 / 0,42526,2022-03-16 14:08:00:370
-4.22337,6.77559,3.95522,8,52.5335,,,,NaN,,,,0 / 0,43026,2022-03-16 14:08:00:870
-1.73819,7.61356,1.15879,8,49.8832,,,,NaN,,,,0 / 0,43526,2022-03-16 14:08:01:370
0.78051,10.33816,-0.59855,8,46.6975,,,,NaN,,,,0 / 0,44026,2022-03-16 14:08:01:870
-0.69911,9.98861,-0.46448,8,49.1123,,,,NaN,,,,0 / 0,44526,2022-03-16 14:08:02:370
-0.36871,10.69729,2.58095,8,46.3818,,,,NaN,,,,0 / 0,45026,2022-03-16 14:08:02:870
-0.13408,9.32302,3.25133,8,47.4453,,,,NaN,,,,0 / 0,45526,2022-03-16 14:08:03:370
0.73741,10.79785,3.6344,8,47.3814,,,,NaN,,,,0 / 0,46026,2022-03-16 14:08:03:870
-0.14844,9.19373,0.30646,8,52.0061,,,,NaN,,,,0 / 0,46526,2022-03-16 14:08:04:370
0.26815,8.49463,-0.34955,8,46.2201,,,,NaN,,,,0 / 0,47026,2022-03-16 14:08:04:870
0.49321,10.23282,1.78607,8,46.0404,,,,NaN,,,,0 / 0,47526,2022-03-16 14:08:05:370
-0.15323,11.12825,4.9943,8,46.843,,,,NaN,,,,0 / 0,48026,2022-03-16 14:08:05:870
1.13964,7.5561,1.59454,8,47.1492,,,,NaN,,,,0 / 0,48526,2022-03-16 14:08:06:370
0.87149,12.39718,1.01993,8,45.9925,,,,NaN,,,,0 / 0,49026,2022-03-16 14:08:06:870
0.47884,11.37725,2.82516,8,46.7607,,,,NaN,,,,0 / 0,49526,2022-03-16 14:08:07:370
-0.50757,4.9129,-0.54588,8,56.0045,,,,NaN,,,,0 / 0,50026,2022-03-16 14:08:07:870
1.49398,13.13938,1.15401,8,45.8442,,,,NaN,,,,0 / 0,50526,2022-03-16 14:08:08:370
-0.00479,26.20693,9.98382,8,47.5594,,,,NaN,,,,0 / 0,51026,2022-03-16 14:08:08:870
-0.75178,-0.00958,-1.75734,8,55.564,,,,NaN,,,,0 / 0,51526,2022-03-16 14:08:09:370
0.04788,-1.34075,-2.03986,8,48.2833,,,,NaN,,,,0 / 0,52027,2022-03-16 14:08:09:871
-0.39265,0.23942,0.01437,8,46.301,,,,NaN,,,,0 / 0,52526,2022-03-16 14:08:10:370
-0.6177,11.91355,1.80044,8,46.3805,,,,NaN,,,,0 / 0,53026,2022-03-16 14:08:10:870
-2.03507,6.11958,1.79086,8,45.9235,,,,NaN,,,,0 / 0,53526,2022-03-16 14:08:11:370
0.51236,-1.47004,1.18752,8,47.533,,,,NaN,,,,0 / 0,54027,2022-03-16 14:08:11:871
-0.27773,10.66378,1.92973,8,45.8558,,,,NaN,,,,0 / 0,54526,2022-03-16 14:08:12:370
-8.77714,26.02497,6.4021,8,47.4944,,,,NaN,,,,0 / 0,55026,2022-03-16 14:08:12:870
4.10845,1.5275,2.96402,8,48.0532,,,,NaN,,,,0 / 0,55526,2022-03-16 14:08:13:370
1.39821,19.88624,3.04542,8,47.473,,,,NaN,,,,0 / 0,56026,2022-03-16 14:08:13:870
-4.05578,7.04374,0.50278,8,49.1723,,,,NaN,,,,0 / 0,56526,2022-03-16 14:08:14:370
3.75411,1.78129,3.73017,8,51.9064,,,,NaN,,,,0 / 0,57027,2022-03-16 14:08:14:871
-8.25521,4.93684,9.49062,8,48.8077,,,,NaN,,,,0 / 0,57526,2022-03-16 14:08:15:370
2.43251,8.93516,5.41568,8,46.4772,,,,NaN,,,,0 / 0,58026,2022-03-16 14:08:15:870
3.36625,10.67335,4.18985,8,49.9497,,,,NaN,,,,0 / 0,58526,2022-03-16 14:08:16:370
0.99599,8.69574,3.62961,8,59.3366,,,,NaN,,,,0 / 0,59026,2022-03-16 14:08:16:870
3.81636,9.22246,5.56891,8,45.5715,,,,NaN,,,,0 / 0,59527,2022-03-16 14:08:17:371
4.1276,9.86411,4.60644,8,44.6297,,,,NaN,,,,0 / 0,60026,2022-03-16 14:08:17:870
0.64165,9.05008,1.92015,8,44.4371,,,,NaN,,,,0 / 0,60526,2022-03-16 14:08:18:370
2.49955,8.37013,-1.84832,8,44.5001,,,,NaN,,,,0 / 0,61026,2022-03-16 14:08:18:870
5.55455,7.69975,-2.37984,8,46.0011,,,,NaN,,,,0 / 0,61526,2022-03-16 14:08:19:370
3.39977,8.47547,2.26491,8,46.4076,,,,NaN,,,,0 / 0,62026,2022-03-16 14:08:19:870
0.88585,7.8051,5.42047,8,46.7699,,,,NaN,,,,0 / 0,62526,2022-03-16 14:08:20:370
0.91459,7.63272,6.38773,8,56.7074,,,,NaN,,,,0 / 0,63026,2022-03-16 14:08:20:870
2.50434,8.12592,5.05655,8,49.1148,,,,NaN,,,,0 / 0,63526,2022-03-16 14:08:21:370
0.29688,8.88249,4.98473,8,46.6041,,,,NaN,,,,0 / 0,64026,2022-03-16 14:08:21:870
-0.91937,8.65743,6.61757,8,45.7154,,,,NaN,,,,0 / 0,64526,2022-03-16 14:08:22:370
1.27372,7.29274,7.52258,8,46.0284,,,,NaN,,,,0 / 0,65026,2022-03-16 14:08:22:870
0.72305,7.3933,5.44441,8,48.1464,,,,NaN,,,,0 / 0,65526,2022-03-16 14:08:23:370
-0.35434,10.71166,3.15556,8,48.2043,,,,NaN,,,,0 / 0,66026,2022-03-16 14:08:23:870
-1.09176,7.24485,-3.18429,8,53.2971,,,,NaN,,,,0 / 0,66526,2022-03-16 14:08:24:370
0.40701,11.48738,1.17316,8,44.907,,,,NaN,,,,0 / 0,67026,2022-03-16 14:08:24:870
-0.04788,10.9846,2.58095,8,44.8552,,,,NaN,,,,0 / 0,67527,2022-03-16 14:08:25:371
0.69911,5.98072,-2.55222,8,44.4552,,,,NaN,,,,0 / 0,68026,2022-03-16 14:08:25:870
-2.38462,8.77236,2.24097,8,45.2381,,,,NaN,,,,0 / 0,68526,2022-03-16 14:08:26:370
4.49631,11.14261,5.15232,8,60.1322,,,,NaN,,,,0 / 0,69026,2022-03-16 14:08:26:870
