ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-3.74932,7.58004,1.55144,8,53.2773,,,,NaN,,,,0 / 0,69526,2022-03-16 14:08:27:370
-3.41413,9.46189,3.66313,8,50.7973,,,,NaN,,,,0 / 0,70026,2022-03-16 14:08:27:870
-1.12527,10.46266,3.89297,8,47.0477,,,,NaN,,,,0 / 0,70526,2022-03-16 14:08:28:370
8.14986,5.00388,-0.42138,8,51.9743,,,,NaN,,,,0 / 0,71026,2022-03-16 14:08:28:870
-4.89375,10.97502,6.98628,8,47.9697,,,,NaN,,,,0 / 0,71526,2022-03-16 14:08:29:370
-0.5794,4.35745,0.21548,8,52.3686,,,,NaN,,,,0 / 0,72026,2022-03-16 14:08:29:870
-5.31992,13.34049,8.43238,8,54.8047,,,,NaN,,,,0 / 0,72526,2022-03-16 14:08:30:370
-6.33027,16.58224,6.5649,8,53.1392,,,,NaN,,,,0 / 0,73026,2022-03-16 14:08:30:870
2.43251,7.06768,-0.70868,8,53.9576,,,,NaN,,,,0 / 0,73526,2022-03-16 14:08:31:370
2.86347,15.62935,11.07079,8,58.8799,,,,NaN,,,,0 / 0,74026,2022-03-16 14:08:31:870
0.24421,2.64799,0.64643,8,56.128,,,,NaN,,,,0 / 0,74526,2022-03-16 14:08:32:370
4.79798,11.87045,6.03339,8,49.2613,,,,NaN,,,,0 / 0,75026,2022-03-16 14:08:32:870
-2.806,5.6551,-0.60813,8,56.6017,,,,NaN,,,,0 / 0,75526,2022-03-16 14:08:33:370
-1.47483,10.1179,-0.18675,8,51.5433,,,,NaN,,,,0 / 0,76026,2022-03-16 14:08:33:870
-0.56982,9.51456,3.70144,8,51.4018,,,,NaN,,,,0 / 0,76526,2022-03-16 14:08:34:370
-1.70946,11.65497,5.08528,8,46.5665,,,,NaN,,,,0 / 0,77026,2022-03-16 14:08:34:870
-3.4285,5.96156,8.98783,8,58.3938,,,,NaN,,,,0 / 0,77526,2022-03-16 14:08:35:370
-2.13563,8.35098,3.5099,8,53.5096,,,,NaN,,,,0 / 0,78026,2022-03-16 14:08:35:870
3.69665,10.96066,-1.75256,8,48.3036,,,,NaN,,,,0 / 0,78526,2022-03-16 14:08:36:370
1.79565,12.35887,-6.14831,8,51.5197,,,,NaN,,,,0 / 0,79026,2022-03-16 14:08:36:870
0.5794,7.5992,5.48272,8,49.0127,,,,NaN,,,,0 / 0,79526,2022-03-16 14:08:37:370
-0.30167,3.72538,-1.25935,8,58.9598,,,,NaN,,,,0 / 0,80026,2022-03-16 14:08:37:870
0.9912,16.4338,3.86903,8,46.2637,,,,NaN,,,,0 / 0,80527,2022-03-16 14:08:38:371
0.19154,3.31836,-2.4373,8,59.122,,,,NaN,,,,0 / 0,81026,2022-03-16 14:08:38:870
1.35991,14.69082,4.71658,8,45.0928,,,,NaN,,,,0 / 0,81527,2022-03-16 14:08:39:371
-0.15323,7.33583,-0.69432,8,56.3384,,,,NaN,,,,0 / 0,82026,2022-03-16 14:08:39:870
0.70868,6.53617,0.5794,8,47.7861,,,,NaN,,,,0 / 0,82526,2022-03-16 14:08:40:370
1.87705,12.73715,5.40611,8,51.827,,,,NaN,,,,0 / 0,83026,2022-03-16 14:08:40:870
6.8953,7.15388,1.52271,8,47.0667,,,,NaN,,,,0 / 0,83526,2022-03-16 14:08:41:370
5.6982,9.9503,3.13162,8,45.676,,,,NaN,,,,0 / 0,84026,2022-03-16 14:08:41:870
-4.37181,9.10275,0.29688,8,58.0397,,,,NaN,,,,0 / 0,84526,2022-03-16 14:08:42:370
0.97205,9.05966,7.0629,8,52.4487,,,,NaN,,,,0 / 0,85026,2022-03-16 14:08:42:870
-1.29287,10.99417,4.57293,8,49.9915,,,,NaN,,,,0 / 0,85526,2022-03-16 14:08:43:370
-5.76045,10.35732,1.04387,8,51.9624,,,,NaN,,,,0 / 0,86026,2022-03-16 14:08:43:870
1.45567,9.54808,3.43807,8,47.7195,,,,NaN,,,,0 / 0,86526,2022-03-16 14:08:44:370
3.8403,9.90721,1.82438,8,46.3145,,,,NaN,,,,0 / 0,87026,2022-03-16 14:08:44:870
3.12683,10.19451,1.96803,8,42.9841,,,,NaN,,,,0 / 0,87526,2022-03-16 14:08:45:370
-3.18429,9.59596,-1.71904,8,60.2777,,,,NaN,,,,0 / 0,88026,2022-03-16 14:08:45:870
3.88818,7.87214,1.77171,8,46.2343,,,,NaN,,,,0 / 0,88526,2022-03-16 14:08:46:370
0.23942,8.25042,5.46836,8,44.7826,,,,NaN,,,,0 / 0,89026,2022-03-16 14:08:46:870
0.62249,8.33661,5.17626,8,42.6131,,,,NaN,,,,0 / 0,89526,2022-03-16 14:08:47:370
0.4118,8.66701,4.06535,8,45.4357,,,,NaN,,,,0 / 0,90026,2022-03-16 14:08:47:870
-0.56503,8.72447,4.70221,8,47.2772,,,,NaN,,,,0 / 0,90526,2022-03-16 14:08:48:370
-0.11492,8.73884,4.35745,8,45.4631,,,,NaN,,,,0 / 0,91026,2022-03-16 14:08:48:870
-0.16281,8.78193,4.46279,8,45.9559,,,,NaN,,,,0 / 0,91526,2022-03-16 14:08:49:370
-0.18196,8.91122,4.2138,8,45.6377,,,,NaN,,,,0 / 0,92026,2022-03-16 14:08:49:870
0.37828,8.96868,3.9648,8,47.5345,,,,NaN,,,,0 / 0,92527,2022-03-16 14:08:50:371
1.41258,9.02614,3.97437,8,44.5045,,,,NaN,,,,0 / 0,93026,2022-03-16 14:08:50:870
0.2059,9.88326,3.3854,8,49.4108,,,,NaN,,,,0 / 0,93526,2022-03-16 14:08:51:370
-0.00958,7.75243,6.10043,8,45.1288,,,,NaN,,,,0 / 0,94026,2022-03-16 14:08:51:870
0.45011,8.35576,0.79966,8,52.6262,,,,NaN,,,,0 / 0,94526,2022-03-16 14:08:52:370
0.23463,8.86333,3.17471,8,52.3651,,,,NaN,,,,0 / 0,95026,2022-03-16 14:08:52:870
4.2521,8.76278,4.19943,8,52.4827,,,,NaN,,,,0 / 0,95527,2022-03-16 14:08:53:371
0.71347,7.89129,4.74531,8,54.1572,,,,NaN,,,,0 / 0,96026,2022-03-16 14:08:53:870
-0.49799,6.11479,6.50265,8,44.8067,,,,NaN,,,,0 / 0,96526,2022-03-16 14:08:54:370
-0.82361,6.25366,7.69018,8,46.6219,,,,NaN,,,,0 / 0,97026,2022-03-16 14:08:54:870
-0.76136,6.52181,7.38372,8,47.2772,,,,NaN,,,,0 / 0,97526,2022-03-16 14:08:55:370
-0.82361,6.67982,7.42681,8,45.2327,,,,NaN,,,,0 / 0,98026,2022-03-16 14:08:55:870
-2.55701,7.42203,6.38773,8,48.0323,,,,NaN,,,,0 / 0,98526,2022-03-16 14:08:56:370
-1.92015,6.80432,7.10599,8,45.0666,,,,NaN,,,,0 / 0,99026,2022-03-16 14:08:56:870
-2.11169,6.9767,6.67982,8,44.308,,,,NaN,,,,0 / 0,99526,2022-03-16 14:08:57:370
-2.13084,7.0198,6.66546,8,50.2466,,,,NaN,,,,0 / 0,100026,2022-03-16 14:08:57:870
-2.30322,7.04853,6.47871,8,47.3486,,,,NaN,,,,0 / 0,100526,2022-03-16 14:08:58:370
-2.45166,7.12514,6.33027,8,46.2305,,,,NaN,,,,0 / 0,101026,2022-03-16 14:08:58:870
-2.41336,7.11078,6.27281,8,44.39,,,,NaN,,,,0 / 0,101526,2022-03-16 14:08:59:370
-2.3128,7.12514,6.39252,8,47.6739,,,,NaN,,,,0 / 0,102026,2022-03-16 14:08:59:870
-2.27928,7.04853,6.58405,8,44.81,,,,NaN,,,,0 / 0,102526,2022-03-16 14:09:00:370
-2.39899,7.05811,6.43561,8,44.8335,,,,NaN,,,,0 / 0,103026,2022-03-16 14:09:00:870
-2.17394,6.96234,6.7708,8,44.6575,,,,NaN,,,,0 / 0,103527,2022-03-16 14:09:01:371
-2.34153,6.98628,6.90488,8,45.8089,,,,NaN,,,,0 / 0,104026,2022-03-16 14:09:01:870
-4.51068,8.8777,5.53539,8,50.7471,,,,NaN,,,,0 / 0,104527,2022-03-16 14:09:02:371
0.35913,7.28316,4.18506,8,47.6774,,,,NaN,,,,0 / 0,105026,2022-03-16 14:09:02:870
-3.9217,3.49553,5.85143,8,49.0724,,,,NaN,,,,0 / 0,105526,2022-03-16 14:09:03:370
-3.64397,-1.43173,4.44364,8,64.1737,,,,NaN,,,,0 / 0,106026,2022-03-16 14:09:03:870
-0.05267,0.02394,9.68215,8,54.7101,,,,NaN,,,,0 / 0,106526,2022-03-16 14:09:04:370
0.05267,0.00958,9.79229,8,40.9638,,,,NaN,,,,0 / 0,107026,2022-03-16 14:09:04:870
0.06704,0.02873,9.77313,8,40.6697,,,,NaN,,,,0 / 0,107526,2022-03-16 14:09:05:370
0.07661,0.02394,9.80665,8,41.715,,,,NaN,,,,0 / 0,108026,2022-03-16 14:09:05:870
0.0431,0.04788,9.77313,8,42.5953,,,,NaN,,,,0 / 0,108526,2022-03-16 14:09:06:370
0.04788,0.02873,9.78271,8,48.4941,,,,NaN,,,,0 / 0,109026,2022-03-16 14:09:06:870
0.06225,0.01915,9.79707,8,49.1096,,,,NaN,,,,0 / 0,109526,2022-03-16 14:09:07:370
0.0814,0.01437,9.78271,8,47.8315,,,,NaN,,,,0 / 0,110026,2022-03-16 14:09:07:870
0.06225,0.01915,9.77792,8,47.1171,,,,NaN,,,,0 / 0,110526,2022-03-16 14:09:08:370
0.03352,0.02873,9.77792,8,47.7102,,,,NaN,,,,0 / 0,111026,2022-03-16 14:09:08:870
0.04788,0.02394,9.78271,8,48.4704,,,,NaN,,,,0 / 0,111526,2022-03-16 14:09:09:370
0.07661,0.02394,9.78271,8,48.4021,,,,NaN,,,,0 / 0,112026,2022-03-16 14:09:09:870
0.04788,0.02394,9.79229,8,49.446,,,,NaN,,,,0 / 0,112526,2022-03-16 14:09:10:370
0.04788,0.01437,9.77792,8,48.1201,,,,NaN,,,,0 / 0,113026,2022-03-16 14:09:10:870
0.06225,0.02394,9.77792,8,47.9005,,,,NaN,,,,0 / 0,113526,2022-03-16 14:09:11:370
0.06704,0.01915,9.80186,8,48.563,,,,NaN,,,,0 / 0,114026,2022-03-16 14:09:11:870
0.04788,0.02873,9.79229,8,48.8431,,,,NaN,,,,0 / 0,114526,2022-03-16 14:09:12:370
0.06225,0.03352,9.79229,8,47.9461,,,,NaN,,,,0 / 0,115026,2022-03-16 14:09:12:870
0.0431,0.02873,9.7875,8,46.9338,,,,NaN,,,,0 / 0,115526,2022-03-16 14:09:13:370
0.06225,0.01915,9.79229,8,46.9975,,,,NaN,,,,0 / 0,116026,2022-03-16 14:09:13:870
0.04788,0.01437,9.77792,8,47.2397,,,,NaN,,,,0 / 0,116527,2022-03-16 14:09:14:371
0.05267,0.02873,9.80186,8,47.2905,,,,NaN,,,,0 / 0,117026,2022-03-16 14:09:14:870
0.0431,0.03352,9.78271,8,47.2603,,,,NaN,,,,0 / 0,117526,2022-03-16 14:09:15:370
0.06225,0.01437,9.80186,8,47.3761,,,,NaN,,,,0 / 0,118026,2022-03-16 14:09:15:870
0.05267,0.00479,9.78271,8,47.3609,,,,NaN,,,,0 / 0,118526,2022-03-16 14:09:16:370
0.03831,-0.00958,9.79229,8,46.8842,,,,NaN,,,,0 / 0,119026,2022-03-16 14:09:16:870
0.05746,0.01437,9.79229,8,47.9565,,,,NaN,,,,0 / 0,119526,2022-03-16 14:09:17:370
0.02873,0.02394,9.7875,8,47.6445,,,,NaN,,,,0 / 0,120026,2022-03-16 14:09:17:870
0.06704,0.02394,9.80665,8,47.5106,,,,NaN,,,,0 / 0,120526,2022-03-16 14:09:18:370
